Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
CHIL3,0.51315,0.560713796,0.4075,110.85,2.8625,9.7825,3.3,9.55,0.4575,2.5625,0.03625,0.078,0.416
BSCO5,0.513129,0.565985983,1.28,110.0666667,3.143333333,10.17333333,3.59,10.02333333,0.504333333,2.943333333,0.047633333,0.128333333,0.498666667
MARR24e,0.513132854,0.569209509,1.2459375,71.49393939,1.806538462,5.171153846,2.0515625,5.265625,0.432961538,1.326259259,0.036333333,0.115333333,0.301181818
MARR180,0.513297,0.572677155,1.11,113,2.33,7.45,2.63,7.02,0.401,1.57,0.041,0.14,0.336
EPRR14,0.513112924,0.572870969,1.112583333,119.8697826,2.690666667,8.816666667,3.036076923,8.603384615,0.4715,2.352666667,0.0463,0.151869231,0.522857143
MARR23,0.513176622,0.572945317,1.364666667,76.74,2.338181818,7.108181818,2.638,6.952,0.487818182,1.784636364,0.059909091,0.150636364,0.319384615
AFAR34,0.51315,0.577033087,3.158082483,117.6929355,1.970534439,5.438068659,2.207460795,5.400673401,0.434823351,1.596149841,0.072889448,0.206245971,0.206977519
MARR12,0.513135501,0.578685382,2.341666667,99.65,2.406666667,7.323333333,2.688333333,7.186666667,0.407333333,1.299,0.0535,0.171666667,0.4135
MARR197,0.513123,0.579417562,0.551499,118.756,3.5422,12.4687,3.951765,11.635,0.564572,2.94871,0.04655755,0.127726,0.4915065
MARR156,0.513098961,0.580160702,1.578856,99.84333333,2.652893333,9.104583333,2.955841667,8.470836667,0.4659985,1.829628333,0.047898333,0.1583015,0.295007167
EPRR73,0.51314419,0.583957106,0.57,93.65,2.805,10.465,3.105,9.165,0.5,2.33,0.05,0.09,0.34
MARR116,0.513187,0.585723839,0.930610419,119.2277242,3.189390303,10.64279061,3.519852424,10.11838485,0.499619242,2.551314375,0.052070653,0.135592356,0.498152367
BLAU8,0.513047047,0.587426904,1.523204348,105.7484174,1.943791304,6.11913913,2.138973913,6.050026087,0.401517391,1.464513043,0.040069565,0.291483333,0.497556522
MARR216,0.512998,0.590151763,0.6,116.538,3.303595,10.96435,3.618535,10.33695,0.5684145,2.562525,0.04609045,0.171835,0.533627
SEIR71,0.513139,0.591679681,0.465,115.4,3.135,10.23,3.425,10.01,0.5,2.625,0.0495,0.093,0.66
BLAU9,0.513060132,0.596235161,3.876077083,127.2107083,2.82275625,8.969675,3.060310417,8.811229167,0.55803125,2.186579167,0.076745833,0.178145833,0.998727083
EPRR68,0.513065365,0.597727565,1.063333333,111.5285714,3.35,10.66714286,3.622857143,10.16428571,0.547,2.195,0.055166667,0.170833333,0.549714286
MARR118b,0.513182,0.598834746,0.69525,122.4518889,3.143344444,10.05815556,3.393084444,9.792544444,0.498090333,2.57128125,0.048409975,0.152649875,0.708671286
MARR124,0.513173,0.608887257,0.7118,120.469,2.62506,8.50129,2.78684,7.8834675,0.3920495,2.018203333,0.0516267,0.113592533,0.3642365
SEIR68,0.513071415,0.609815457,0.73525,121.2261143,4.862266667,16.54623333,5.154066667,15.52263333,0.710166667,4.21962069,0.072041667,0.135153846,0.667
AFAR12,0.513132008,0.616541228,1.305,88.7,2.58,7.96,2.705,7.41,0.4495,1.435,0.0395,0.1595,0.1905
BLAU5,0.51308663,0.622757564,4.386875,93.5,8.4575,27.10375,8.77875,26.0025,1.520625,7.72125,0.1937,0.5458125,1.499
SEIR31,0.513021,0.624744956,0.7875,118.1,3.46,11.16,3.58,10.59,0.526,2.8,0.057,0.108,0.542
SEIR34,0.513014096,0.626609025,0.9415,124.52,3.354,10.44,3.46,10.136,0.46475,2.465,0.050666667,0.1075,0.4832
SWIR2,0.512504089,0.632378443,1.896197625,97.98447829,4.15447492,12.52592558,4.246672511,12.04279674,0.619557489,3.015647762,0.07692706,0.242262604,0.575265379
SEIR67,0.513073676,0.633230823,0.864,139.909,3.1994,10.3314,3.266,9.6832,0.4362,2.484,0.042,0.103,0.4805
SEIR32,0.513038929,0.63390927,1.28,131,3.38,10.28,3.446666667,9.933333333,0.444,2.43,0.056,0.133,0.447
MARR227,0.51294789,0.634533469,0.846470588,99.68888889,2.848888889,8.546111111,2.902222222,8.27,0.437666667,1.483333333,0.037230769,0.163,0.3625
SEIR50,0.513057,0.635456269,0.85,132.8,2.9,9.25,2.95,8.77,0.416,2.19,0.042,0.092,0.478
CIRR47,0.513074,0.638815609,0.718,118.416,3.424848333,11.33038,3.465576667,10.33828,0.4877426,2.518376,0.051811686,0.150174286,0.6379095
MARR235,0.512978,0.639210044,1.58,126.8,3.55,11.48,3.59,10.28,0.524,2.34,0.049,0.193,0.444
