Group,Distance,Age_shield,Sample_Name,Sr,Nd,Hf
HAWAII - MAUNA KEA high CaO,54,0.34,R689-4.6-4.8,0.703144,8.563681408,15.20589847
HAWAII - MAUNA KEA high CaO,54,0.34,R696-1.0-1.6,0.703175,7.412753838,14.71082271
HAWAII - MAUNA KEA high CaO,54,0.34,R696-2.1-2.3,0.703168,8.154029222,14.81691037
HAWAII - MAUNA KEA high CaO,54,0.34,R696-6.5-6.7,0.70316,8.446637926,15.06444826
HAWAII - MAUNA KEA high CaO,54,0.34,R696-9.4-9.6,0.703177,8.563681408,14.85227293
HAWAII - MAUNA KEA high CaO,54,0.34,R698-1.4-1.6,0.703198,8.154029222,14.78154782
HAWAII - MAUNA KEA high CaO,54,0.34,R698-2.6-2.7,0.703178,8.095507481,14.92299804
HAWAII - MAUNA KEA high CaO,54,0.34,R698-8.3-8.5,0.703198,8.193043716,14.88763548
HAWAII - MAUNA KEA high CaO,54,0.34,R698-9.1-9.3,0.703214,8.310087197,14.71082271
HAWAII - MAUNA KEA high CaO,54,0.34,R699-3.7-4.0,0.70324,7.724869789,14.42792227
HAWAII - MAUNA KEA high CaO,54,0.34,R699-5.4-5.6,0.703248,7.841913271,14.46328483
HAWAII - MAUNA KEA high CaO,54,0.34,R699-8.4-8.6,0.70327,7.841913271,13.8621214
HAWAII - MAUNA KEA high CaO,54,0.34,R700-2.9-3.1,0.703245,8.115014728,14.46328483
HAWAII - MAUNA KEA high CaO,54,0.34,R700-3.6-3.8,0.70326,7.900435012,14.2511095
HAWAII - HUALALAI,60,0.44,K218-1,0.703759,5.462029144,10.46731616
HAWAII - HUALALAI,60,0.44,K218-3A,0.703735,5.618087119,10.67949149
HAWAII - HUALALAI,60,0.44,K218-5,0.703731,5.598579872,10.78557915
HAWAII - HUALALAI,60,0.44,K218-R12,0.703735,5.579072625,10.64412893
HAWAII - HUALALAI,60,0.44,K218-R13,0.703741,5.696116107,10.53804127
HAWAII - HUALALAI,60,0.44,K218-R14,0.703731,5.520550885,10.57340382
HAWAII - HUALALAI,60,0.44,K218-R2A,0.703736,5.735130601,10.85630426
HAWAII - HUALALAI,60,0.44,K218-R7,0.703716,5.598579872,10.7502166
HAWAII - HUALALAI,60,0.44,K218-R8,0.703728,5.579072625,10.60876638
HAWAII - HUALALAI,60,0.44,K218-R9A,0.703734,5.598579872,10.8209417
HAWAII - HUALALAI,60,0.44,K219-13,0.703709,5.93020307,11.66964302
HAWAII - HUALALAI,60,0.44,K219-4A,0.703681,5.715623354,10.57340382
HAWAII - HUALALAI,60,0.44,K219-9,0.703682,5.832666836,10.53804127
HAWAII - HUALALAI,60,0.44,K219-R1,0.70374,5.774145095,11.1392047
HAWAII - HUALALAI,60,0.44,K219-R2,0.703718,5.715623354,10.46731616
